Software Name,Publisher Name,Information Webpage,Licensing Restrictions
Anaconda,Unknown,http://docs.anaconda.com/anaconda/pkg-docs,Instructional-use only;#Research-use only;#Requires Physical Device;#No RDP use
Ansys,Ansys Inc.,Unknown,Research-use only;#Requires Physical Device;#No RDP use;#Use geographically limited (Campus);#Use geographically limited (radius)
Axure,Amazon Web Services Inc.,www.axure.com,Requires Physical Device;#No RDP use;#Use geographically limited (Campus);#Use geographically limited (radius);#US use only
Bluebeam,Inc,https:/fwww.bluebeam.com,Instructional-use only;#Requires Physical Device;#Use geographically limited (Campus);#US use only;#Block embargoed countries
Autodesk,Autodesk Inc.,http://download.autodesk.com/us/fy,Instructional-use only;#Requires Physical Device;#Use geographically limited (Campus);#US use only;#Block embargoed countries;#On-site (lab) use only
